#TICID      RA          DEC        TWOMASS            GAIA                  Hmag     Tmag    
318253145   163.7714    48.2012    10550513+4812041   832231762792785792    13.029   15.2321
318341043   165.0487    49.4936    11001169+4929368   832726096348426624     9.579   10.0564
320208212   193.6863    42.2123    12544472+4212443   1528430430873380608   13.348   14.8048
320209827   194.5965    43.3322    12582315+4319556   1527845009651265920   13.351   14.4196
320211868   194.7875    42.6273    12590899+4237382   1527789793551750016   13.708   14.548
321423073   201.1158    31.6969    13242779+3141489   1469307865285258752    9.946   10.8624
330705433   141.7377    28.9141    09265703+2854508   695453100414040192    10.069   10.7767
357344759   195.2632    26.7949    13010317+2647418   1460392135950848896   11.27    12.3206
357349410   205.7498    29.271     13425995+2916155   1455133584151018624   12.284   14.1406
357388711   218.2557    50.7438    14330136+5044377   1603813566548768768   12.532   14.1574
357389743   218.7605    51.2529    14350252+5115106   1604208669180276736   10.169   10.8522
359119636   193.8115    28.415     12551475+2824539   1463988947721702272   10.357   11.5342
359120827   194.3389    26.3845    12572133+2623040   3958562956044494720   11.436   12.5212
359121632   194.4236    28.8259    12574167+2849333   1463914009132806528    7.568    8.8652
359121902   194.5321    27.5096    12580768+2730344   1460697967685009920   10.92    11.79
359121994   194.4399    27.031     12574557+2701516   1460644886185625472    9.672   10.3347
359123315   194.5752    28.4217    12581804+2825180   1463836768440988928   10.608   12.1513
359162657   196.0444    27.7253    13041065+2743309   1460563659764508032    9.349    9.9402
365994978   194.7717    27.8088    12590520+2748316   1460712231272847232   10.497   11.298
368128382   202.8068    25.2743    13311363+2516274   1447962912911887232   10.056   12.0893
373730402   193.5742    27.8622    12541780+2751439   1463758496956399616    9.259    9.9404
383474713   206.2563    18.806     13450151+1848216   1248150588941484416   12.372   13.6527
392467694    205.132   -16.8967    13403168-1653481   3603634452205260160   13.712   15.0521
392490138   205.2764   -16.4006    13410633-1624020   3605166003183322624   13.46    14.6206
402875874    25.2547    85.5938    01410114+8535378   573842200939238272    11.493   13.0839
406797111   225.6302    37.8218    15023121+3749184   1295065616227972480   13.774   15.9275
416592061   194.5363    49.1757    12580871+4910325   1555719106884242176    8.844    9.7618
417116691   177.5136    49.096     11500324+4905456   787654915702063744     9.573   10.7067
441712201   217.0341    49.2569    14280818+4915248   1507556065181052288    8.786    9.37165
445811126   171.5415    53.587     11260994+5335131   839863438641752960     9.76    10.4116
445838513   194.1251    26.0908    12563002+2605267   3958526672160770304   10.902   12.8708
445859992   214.1392    56.9088    14163340+5654313   1611454279008512768    9.641   10.5007
